aboutType	Data "about" the record must be expressed in XML that is compliant with an XML Schema defined by a community.
accessTool	The name or the identifier or the url of the tool used to access a resource (e.g. a corpus workbench)
actorInfoType	Used to bring persons and organizations (in whatever role they may have with regard to the resource, e.g., resource creator, IPR holder, etc.)
actualUse	Classification of the actual use of the resource
actualUseDetails	Reports on the usage of the resource in free text
actualUseInfo	Groups information on how the resource has already been used
actualUseInfoType	Groups information on how the resource has already been used
address	The street and the number of the postal address of a person or organization
affiliation	Groups information on organization to whomtheperson is affiliated
ageGroup	The age group to which the participant belongs
ageOfPersons	The age range of the group of participants; repeat the element if needed
ageRangeEnd	End of age range of the group of participants
ageRangeStart	Start of age range of the group of participants
age	The age of the participant
alias	The name of the person used instead of the real one
annotatedElements	Specifies the elements annotated in each annotation level
annotationEndDate	The date in which the annotation process has ended
annotationFormat	Specifies the format that is used in the annotation process since often the mime type will not be sufficient for machine processing
annotationInfo	Groups information on the annotated part(s) of a resource
annotationInfo	Groups information on the annotated part(s) of a resource
annotationInfoType	Groups information on the annotated part(s) of a resource
annotationManual	A bibliographic reference or ms:httpURI link to the annotation manual
annotationModeDetails	Provides further information on annotation process 
annotationMode	Indicates whether the resource is annotated manually or by automatic processes
annotationStandoff	Indicates whether the annotation is created inline or in a stand-off fashion
annotationStartDate	The date in which the annotation process has started
annotationTool	The name, the identifier or the url of the tool used for the annotation of the resource
annotationType	Specifies the annotation level of the resource or the annotation type a tool/ service requires or produces as an output
annotator	Groups information on the annotators of the specific annotation type
artifactParts	Indicates the parts of the artifacts represented in the image corpus
attachedLexiconPosition	Indicates the position of the lexicon, if attached to the grammar
attributionText	The text that must be quoted for attribution purposes when using a resource - for cases where a resource is provided with a restriction on attribution
audience	Indication of the intended audience size
audioClassificationInfo	Groups together information on audio type/genre of the resource
audioClassificationInfoType	Groups together information on audio type/genre of the resource
audioContentInfo	Groups together information on the contents of the audio part of a resource
audioContentInfoType	Groups together information on the contents of the audio part of a resource
audioFormatInfo	Groups together information on the format of the audio part of a resource
audioFormatInfoType	Groups together information on the format of the audio part of a resource
audioGenre	A first indication of type of sounds recorded
audioQualityMeasuresIncluded	Specifies the audio quality measures
audioSizeInfo	SizeInfo Element for Audio parts of a resource
audioSizeInfoType	SizeInfo Element for Audio parts of a resource
author	The name(s) of the author(s), in the format described in the document
availabilityEndDate	Specifies the end date of availability of a resource - only for cases where a resource is available for a restricted time period.
